1142391,44.42,-15444,632,-588
1142409,44.83,-15464,524,-640
1142427,45.24,-15696,540,-672
1142444,43.41,-15740,488,-380
1142461,43.00,-15796,304,-300
1142478,42.98,-15872,224,-516
1142495,42.98,-15920,312,-648
1142512,42.98,-15684,232,-728
1142529,42.98,-15860,88,-808
1142546,42.51,-16052,44,-520
1142563,42.53,-15936,212,-100
1142580,43.00,-15816,208,-192
1142597,43.00,-15872,416,-188
1142614,43.00,-15748,468,-156
1142631,42.98,-15656,1024,-288
1142648,43.41,-15508,1472,-736
1142666,44.83,-14076,3472,-652
1142683,43.41,-12104,6344,176
1142700,42.50,-9724,6204,4444
1142717,42.27,-11440,8908,-1136
1142734,42.03,-8296,6832,-460
1142751,40.89,-11564,8560,-292
1142768,40.41,-11612,8452,-392
1142785,39.48,-9856,7308,-116
1142802,39.72,-12848,8844,-732
1142819,39.48,-13220,8292,-876
1142836,38.78,-12516,7968,-436
1142853,37.61,-13976,8380,-604
1142870,36.44,-14748,7976,-836
1142887,36.22,-15940,8024,-908
1142904,35.43,-15736,7464,-468
1142921,34.64,-16680,7220,-664
1142938,34.37,-18468,7020,-968
1142955,32.79,-18328,6408,-528
1142972,32.55,-18692,5828,-644
1142989,32.00,-20284,5400,-820
1143006,31.47,-20544,4596,-704
1143023,30.96,-20568,3772,-516
1143040,30.70,-21260,3040,-648
1143057,30.42,-21516,2208,-620
1143074,29.89,-21632,1276,-688
1143091,30.70,-21684,444,-644
1143108,29.89,-21648,-424,-632
1143125,30.42,-21572,-1152,-548
1143142,30.70,-21092,-2104,-344
1143159,31.49,-20600,-2900,-388
1143176,31.47,-20404,-3476,-428
1143193,32.00,-19816,-4132,-296
1143210,32.52,-19232,-4948,-392
1143227,32.79,-18500,-5384,-464
1143244,33.84,-17628,-5556,-384
1143261,34.64,-17260,-6184,-372
1143278,34.90,-16532,-6524,-140
1143295,35.69,-16012,-6792,-264
1143312,37.63,-14992,-6760,-432
1143329,36.68,-14048,-6880,-372
1143346,37.85,-13988,-7192,-328
1143363,39.24,-13080,-7152,-380
1143380,39.02,-12440,-6960,-280
1143397,39.94,-12168,-7104,-212
1143414,40.42,-11692,-7012,-220
1143431,40.42,-11376,-6828,-272
1143448,41.11,-11304,-7148,-196
1143465,41.33,-10856,-6916,-192
1143482,42.27,-10852,-6932,-228
1143499,40.65,-10860,-6896,-192
1143516,41.81,-10904,-6880,-164
1143533,40.42,-10936,-6904,-256
1143550,40.18,-11368,-7100,-256
1143567,40.65,-11500,-7036,-324
1143584,40.65,-11928,-7052,-320
1143601,40.18,-12228,-7120,-252
1143618,38.78,-12836,-7052,-372
1143635,39.02,-13216,-7120,-400
1143652,37.16,-13824,-6960,-368
1143669,36.46,-14584,-6940,-472
1143686,36.92,-15260,-6956,-580
1143703,35.41,-15836,-6636,-664
1143720,34.63,-16556,-6344,-568
1143737,34.37,-17248,-6168,-744
1143754,34.13,-18020,-5772,-816
1143771,33.05,-18600,-5120,-860
1143788,32.00,-19388,-4596,-980
1143805,32.28,-19920,-3908,-1116
1143822,30.96,-20444,-3224,-1172
1143839,30.96,-20700,-2432,-1140
1143856,30.17,-20900,-1592,-996
1143873,30.42,-21056,-828,-1080
1143890,30.68,-21872,-64,-1100
1143907,30.70,-21792,932,-1040
1143924,29.89,-21100,1684,-668
1143941,30.42,-21148,2560,-752
1143958,30.68,-20816,3364,-824
