1102186,42.50,-15596,340,-664
1102203,42.48,-15736,388,-392
1102220,42.48,-15636,520,-396
1102237,42.03,-15600,520,-288
1102254,42.02,-15756,504,-608
1102271,42.02,-15876,264,-776
1102288,42.02,-15912,168,-680
1102305,42.02,-15908,140,-484
1102322,43.18,-15880,440,-484
1102340,49.07,-15768,380,-496
1102357,43.18,-15808,56,-824
1102374,43.18,-15884,100,-800
1102391,43.20,-15888,168,-624
1102408,43.18,-15792,324,-416
1102425,43.18,-15844,468,-272
1102442,43.20,-16004,352,-132
1102459,42.02,-15852,360,-304
1102476,42.02,-15556,392,-420
1102493,42.03,-15656,656,-452
1102510,42.03,-15808,788,-516
1102527,42.02,-16460,1196,-1000
1102544,42.03,-14644,1268,-1424
1102561,42.50,-11348,3520,12
1102578,42.02,-11020,8476,-572
1102595,42.26,-10188,8608,-320
1102612,41.57,-8628,7208,0
1102629,40.85,-11644,8628,-652
1102646,40.41,-11456,8328,-652
1102663,39.44,-10340,7752,-312
1102680,40.17,-12480,8620,-588
1102697,39.94,-12536,8184,-560
1102714,37.59,-13100,8344,-604
1102731,36.91,-13732,8340,-476
1102748,37.35,-14192,7744,-436
1102765,36.19,-15972,8160,-716
1102782,35.41,-15784,7676,-652
1102799,35.16,-16580,7236,-528
1102816,33.58,-18164,7180,-680
1102833,33.32,-18280,6552,-672
1102850,33.07,-18740,6060,-484
1102867,32.00,-19952,5600,-716
1102884,31.47,-20292,4732,-772
1102901,31.45,-20656,4136,-552
1102918,30.68,-21196,3108,-616
1102935,30.42,-21412,2344,-708
1102952,29.89,-21548,1488,-656
1102969,30.68,-21676,580,-588
1102986,29.88,-21760,-312,-524
1103003,30.41,-21540,-1096,-464
1103020,30.66,-21196,-1984,-552
1103037,30.94,-20972,-2792,-548
1103054,30.94,-20372,-3624,-572
1103071,31.45,-19804,-4236,-320
1103088,32.52,-19456,-4880,-412
1103105,33.05,-18528,-5452,-116
1103122,33.84,-17836,-5732,-464
1103139,34.09,-17356,-6240,-212
1103156,35.67,-15552,-6240,-252
1103173,35.95,-16508,-6712,-232
1103190,36.20,-16484,-7520,-340
1103207,37.37,-14072,-6888,-304
1103224,38.06,-13076,-6728,-232
1103241,38.30,-13160,-7168,-380
1103258,40.15,-12632,-7136,-348
1103275,39.00,-12232,-7088,-520
1103292,39.93,-11992,-7120,-472
1103309,41.11,-11652,-7200,-516
1103326,40.17,-10964,-6908,-344
1103343,40.39,-10780,-6996,-208
1103360,41.33,-11036,-7048,-412
1103377,42.24,-10728,-6940,-416
1103394,41.33,-10868,-6840,-420
1103411,42.03,-11104,-7056,-352
1103428,40.17,-11168,-6936,-436
1103445,40.63,-11396,-6952,-536
1103462,39.46,-11864,-7056,-340
1103479,39.00,-12356,-7108,-428
1103496,39.22,-12560,-6964,-516
1103513,37.83,-13292,-6968,-408
1103530,37.59,-13860,-7028,-596
1103547,36.89,-14336,-6952,-524
1103564,36.22,-15180,-6780,-764
1103581,35.93,-15972,-6592,-780
1103598,35.16,-16716,-6324,-808
1103615,34.90,-17280,-6040,-828
1103632,33.31,-17900,-5480,-716
1103649,33.05,-18656,-5164,-956
1103666,32.00,-19260,-4648,-1072
1103683,31.45,-19724,-3908,-1004
1103700,30.94,-20208,-3232,-1320
1103717,30.96,-20640,-2476,-1152
1103734,30.68,-20840,-1796,-1136
1103751,30.41,-21124,-860,-1024
1103768,29.88,-21824,-96,-1004
1103785,30.66,-21364,732,-984
1103802,29.89,-21320,1584,-844
1103819,30.42,-21192,2536,-936
1103836,30.68,-20836,3196,-912
1103853,30.94,-20924,3908,-900
1103870,30.94,-19520,4512,-612
1103887,31.47,-20224,5488,-820
1103904,32.00,-20004,6244,-896
1103921,33.05,-17216,6092,-480
1103938,33.32,-17568,6960,-592
1103955,34.90,-17164,7408,-648
1103972,35.16,-15740,7180,-488
1103989,36.67,-15616,7896,-360
1104006,36.20,-14492,7908,-436
1104023,36.44,-13676,7816,-340
1104040,37.13,-13360,8108,-320
1104057,39.00,-11524,6408,-1832
1104074,38.30,-14228,8944,636
1104091,39.24,-11808,8128,-1284
1104108,39.70,-8172,5800,-604
1104125,41.33,-14636,10392,-1012
1104142,40.39,-10036,7600,-24
1104159,40.65,-8008,6292,64
1104176,41.55,-12520,9528,-932
1104193,40.85,-9900,7336,-480
1104210,42.03,-9496,7304,-452
1104227,40.63,-11532,9000,-572
1104244,40.87,-9192,7072,-264
1104261,40.17,-11548,8276,-472
1104278,40.18,-11572,8328,-752
1104295,40.17,-10436,7468,-268
1104312,39.24,-12820,8624,-416
1104329,37.83,-12568,7976,-572
1104346,37.61,-12844,7856,-256
1104363,37.37,-13824,8244,-636
1104380,36.67,-14180,7848,-624
1104397,36.43,-15572,7864,-776
1104414,34.88,-15724,7624,-536
1104431,34.61,-16256,7288,-516
1104448,34.37,-17720,7028,-764
1104465,32.79,-17988,6480,-704
1104482,33.05,-18368,5968,-604
1104499,32.00,-19368,5476,-644
1104516,31.45,-19812,4680,-640
1104533,30.68,-20260,3988,-492
1104550,30.68,-20760,3308,-592
1104567,30.41,-21036,2464,-636
1104584,29.89,-21292,1716,-680
1104601,30.68,-21364,748,-756
1104618,30.66,-21284,28,-812
1104635,29.94,-21252,-984,-704
1104652,30.15,-20832,-1760,-628
1104669,30.41,-20792,-2456,-592
1104686,31.21,-20288,-3308,-556
1104703,31.20,-19788,-4032,-640
1104720,31.74,-19204,-4624,-552
1104737,32.79,-18556,-5132,-376
1104754,33.82,-17884,-5448,-556
1104771,34.09,-16828,-5812,-472
1104788,35.16,-17260,-6224,-588
1104805,35.41,-16492,-6768,-596
1104822,35.67,-14616,-6448,-408
1104839,37.13,-14596,-6860,-392
1104856,37.37,-14292,-6980,-408
1104873,37.59,-13220,-6796,-292
