1060405,41.11,-15768,328,-756
1060422,41.11,-15820,416,-736
1060439,41.13,-15604,460,-576
1060456,41.13,-15660,564,-348
1060473,41.13,-15808,452,-540
1060490,41.11,-15816,476,-712
1060507,41.13,-15536,368,-808
1060524,41.11,-15732,504,-552
1060541,41.11,-15712,600,-356
1060558,41.11,-15564,768,-452
1060575,41.09,-15408,1020,-576
1060592,41.11,-16036,1308,-1060
1060609,41.11,-15816,972,-516
1060626,41.09,-13320,1172,300
1060643,42.27,-12324,4504,1444
1060660,41.35,-13304,4840,616
1060677,42.03,-11024,7920,88
1060694,40.63,-9116,7152,-76
1060711,39.93,-11524,8304,-452
1060728,39.94,-12316,8592,-500
1060745,39.93,-9876,7288,-120
1060762,39.00,-12172,8356,-684
1060779,39.22,-13192,8304,-780
1060796,37.37,-12648,7744,-460
1060813,36.67,-13484,8056,-448
1060830,36.44,-14408,7748,-748
1060847,35.69,-15604,7796,-864
1060864,35.41,-15540,7472,-592
1060881,35.16,-16156,7036,-600
1060898,33.58,-17584,7100,-868
1060915,33.31,-18144,6512,-760
1060932,32.26,-18136,5808,-704
1060949,32.52,-19344,5520,-868
1060966,32.00,-20080,4748,-588
1060983,30.68,-20004,4104,-404
1061000,31.20,-20732,3448,-784
1061017,30.94,-21248,2528,-832
1061034,29.89,-21136,1604,-668
1061051,30.68,-21100,900,-576
1061068,30.68,-21440,36,-784
1061085,29.91,-21456,-896,-728
1061102,30.94,-20840,-1608,-560
1061119,30.42,-20512,-2396,-720
1061136,31.21,-20192,-3052,-516
1061153,31.20,-19864,-3860,-584
1061170,31.73,-19192,-4392,-560
1061187,32.79,-18500,-4936,-608
1061204,33.84,-18132,-5472,-480
1061221,34.09,-17516,-5832,-484
1061238,35.14,-16292,-6096,-308
1061255,35.41,-16032,-6436,-528
1061272,35.69,-15060,-6260,-344
1061289,36.43,-15212,-6948,-492
1061306,37.83,-14048,-6836,-304
1061323,38.06,-13040,-6680,-244
1061340,37.82,-13524,-7212,-188
1061357,38.76,-12524,-7008,-268
1061374,39.24,-11712,-6776,-216
1061391,40.42,-11996,-7016,-128
1061408,39.94,-11588,-7004,-300
1061425,40.17,-11040,-6780,-128
1061442,41.57,-11116,-6916,-168
1061459,40.39,-11152,-6908,-224
1061476,40.39,-11108,-6924,-220
1061493,41.09,-11116,-6940,-252
1061510,41.31,-11264,-6892,-312
1061527,40.17,-11604,-7024,-304
1061544,39.00,-11872,-7064,-168
1061561,39.00,-12208,-6884,-312
1061578,38.06,-12640,-6976,-412
1061595,38.78,-13144,-6776,-276
1061612,36.91,-13744,-6828,-388
1061629,36.68,-14388,-6852,-196
1061646,36.44,-15036,-6688,-412
1061663,36.20,-15640,-6488,-320
1061680,34.63,-16284,-6300,-472
1061697,34.35,-17100,-5984,-728
1061714,33.31,-17752,-5564,-808
1061731,33.07,-18264,-5140,-668
1061748,32.00,-19088,-4620,-844
1061765,31.47,-19616,-4092,-792
1061782,31.47,-19828,-3424,-956
1061799,30.94,-20240,-2596,-1048
1061816,30.70,-20880,-1880,-956
1061833,30.42,-20968,-1168,-1168
1061850,30.68,-21096,-252,-1156
1061867,30.17,-21252,588,-1172
1061884,30.68,-21312,1232,-1048
1061901,30.42,-20912,2148,-1172
1061918,30.15,-20452,2976,-1180
1061935,30.41,-20360,3740,-992
1061952,31.21,-19764,4368,-996
1061969,31.20,-19968,5180,-1148
1061986,31.73,-19656,5892,-904
1062003,32.79,-17464,5828,-804
1062020,33.84,-17784,6744,-836
1062037,34.09,-17144,7192,-960
1062054,35.16,-15740,7176,-860
1062071,35.41,-15708,7544,-752
1062088,35.67,-14812,7776,-788
1062105,37.59,-13852,7800,-764
1062122,37.37,-13772,8068,-768
1062139,37.61,-12756,7856,-576
1062156,39.02,-12084,7984,-788
1062173,38.30,-11992,8052,-556
1062190,38.76,-11416,7980,-680
1062207,40.39,-10948,7944,-624
1062224,39.48,-10876,7920,-568
1062241,39.70,-10756,7824,-664
1062258,41.09,-10372,7892,-556
1062275,39.93,-10128,7756,-428
1062292,41.57,-10488,7848,-532
1062309,40.65,-10568,7792,-608
1062326,40.87,-10520,7888,-536
1062343,40.17,-10832,7928,-520
1062360,39.00,-11312,7920,-700
1062377,39.02,-11720,7912,-644
1062394,38.54,-12040,7960,-680
1062411,39.24,-12452,7924,-584
1062428,37.39,-13200,7880,-704
1062445,37.15,-13772,7848,-872
1062462,36.91,-14256,7692,-812
1062479,35.43,-15100,7608,-736
1062496,35.16,-15788,7336,-816
1062513,34.13,-16332,7124,-872
1062530,33.84,-17080,6848,-780
1062547,32.79,-17796,6392,-928
1062564,33.05,-18432,5868,-748
1062581,31.98,-18940,5288,-860
1062598,31.47,-19532,4784,-736
1062615,30.68,-20160,4048,-916
1062632,31.21,-20412,3324,-796
1062649,30.94,-20712,2536,-844
1062666,29.89,-21008,1708,-856
1062683,30.68,-21044,848,-900
1062700,30.68,-20980,100,-816
1062717,29.89,-20852,-664,-716
1062734,30.42,-20804,-1536,-852
1062751,31.20,-20648,-2288,-904
1062768,30.68,-19972,-2892,-792
1062785,31.47,-19656,-3784,-428
1062802,32.00,-19252,-4336,-636
1062819,32.53,-18524,-4724,-688
1062836,33.58,-17948,-5360,-504
1062853,33.32,-17220,-5660,-776
1062870,34.37,-15436,-5712,-404
1062887,34.64,-16756,-6220,-244
1062904,35.69,-15896,-6612,-560
1062921,35.96,-13968,-6248,-624
1062938,36.92,-14568,-6912,-84
1062955,37.13,-13760,-6944,-272
1062972,38.09,-12816,-6628,-400
1062989,39.02,-12840,-6920,-72
1063006,39.46,-12096,-6840,-276
1063023,39.02,-11828,-6824,-144
1063040,39.70,-11980,-6912,-256
1063057,39.94,-11384,-6668,-228
1063074,39.70,-11284,-6712,-88
