536533,37.13,-15756,508,-408
536550,37.13,-15720,568,-716
536567,35.95,-15548,564,-728
536584,35.95,-15708,452,-808
536601,37.15,-15620,552,-912
536618,35.95,-15576,604,-892
536635,35.95,-15596,424,-824
536652,37.15,-15800,412,-572
536669,35.96,-15664,392,-820
536686,35.95,-15692,600,-432
536703,35.95,-15608,688,-580
536720,37.15,-15692,620,-716
536737,35.93,-15592,580,-656
536754,37.15,-15756,440,-636
536771,37.15,-15848,384,-592
536788,37.15,-15772,504,-600
536805,37.15,-15604,416,-620
536822,37.13,-15748,388,-572
536839,36.68,-15772,392,-652
536856,37.15,-15656,464,-804
536873,37.13,-15780,568,-708
536890,37.13,-15752,564,-836
536907,36.67,-15664,796,-880
536924,37.15,-15912,1872,-1544
536941,36.68,-14372,2480,-1284
536958,36.67,-11856,4576,-440
536975,36.22,-14260,5880,-56
536992,35.69,-12292,4932,-444
537009,35.95,-13144,6492,-732
537026,36.22,-13604,6820,-1076
537043,35.16,-11880,6072,-648
537060,34.90,-14624,6928,-1212
537077,34.63,-13884,6372,-860
537094,35.16,-13096,5896,-656
537111,34.35,-15392,6480,-1008
537128,33.58,-14708,5800,-924
537145,33.56,-14880,5668,-836
537162,32.79,-15724,5684,-900
537179,32.77,-15688,5124,-880
537196,31.98,-16876,5004,-932
537213,32.00,-16472,4508,-732
537230,31.21,-17028,4208,-868
537247,30.94,-17852,3944,-896
537264,31.47,-17540,3316,-784
537281,30.41,-18140,2844,-772
537298,30.17,-18400,2540,-888
537315,30.42,-18396,1852,-712
537332,29.89,-18672,1312,-608
537349,30.68,-18548,924,-640
537366,30.68,-18720,320,-648
537383,30.68,-18984,-240,-680
537400,29.93,-18540,-688,-508
537417,30.41,-18244,-1196,-308
537434,30.68,-18312,-1676,-472
537451,30.42,-18188,-2120,-220
537468,30.68,-17828,-2672,-272
537485,31.45,-17484,-3140,-296
537502,31.73,-17156,-3364,-252
537519,32.53,-16720,-3888,-268
537536,32.00,-16456,-4040,-144
537553,32.79,-16196,-4284,-248
537570,32.79,-15604,-4516,-184
537587,33.58,-15144,-4688,-20
537604,34.37,-14996,-4960,-4
537621,33.84,-14740,-5112,64
537638,34.64,-14336,-5160,164
537655,34.90,-14208,-5236,4
537672,35.16,-13964,-5380,-40
537689,35.43,-13632,-5320,96
537706,35.95,-13292,-5404,52
537723,35.69,-13208,-5468,112
537740,36.20,-13572,-5716,56
537757,36.20,-13204,-5432,144
537774,35.41,-13020,-5460,68
537791,36.20,-13388,-5564,132
537808,35.69,-13260,-5420,24
537825,35.95,-13448,-5512,80
537842,34.88,-13744,-5400,-52
537859,34.64,-13816,-5412,-64
537876,34.39,-14304,-5408,-24
537893,34.11,-14240,-5200,24
537910,34.63,-14816,-4940,-36
537927,33.84,-15200,-5024,52
537944,33.05,-15324,-4744,-132
537961,33.05,-15692,-4568,-144
537978,32.26,-16276,-4376,-308
537995,32.79,-16464,-4012,-224
538012,31.98,-16780,-3680,-396
