Height,Period

0.01514881401819352,0.4777358347877008

0.025821686665550025,0.5084600939785295

0.036445699314857485,0.5906825832732957

0.04541960852728318,0.6405802581616962

0.05814437888795142,0.6436127097756348

0.01514881401819352,0.4777358347877008

0.02528369745605968,0.5257484223601594

0.03848852435086939,0.603159165153905

0.047509046584178975,0.5880099548742583

0.051937241097552,0.6499964403088623

0.01706753745026602,0.4836321393494398

0.023804930814428315,0.5297561972857157

0.03969915647063778,0.6199550343340294

0.04754517478518305,0.6162724978054788

0.054811001816099256,0.60993118119012

