#Height,Period (sin),amp_uncertainty,omega_uncertainty
0.01514881401819352,1.605654197099719,0.00025434091312080416,0.00858472944017565
0.025821686665550025,1.6156463527381302,0.0003071065206292274,0.005952895922813979
0.036445699314857485,1.6216943458721969,0.0003670505882678027,0.005018178384683773
0.04541960852728318,1.6289595573591138,0.00045057826471330074,0.005174105929603899
0.05814437888795142,1.650512092551847,0.0004865178968150542,0.004203620473824858
0.01514881401819352,1.605654197099719,0.00025434091312080416,0.00858472944017565
0.02528369745605968,1.6152146312931626,0.0003109364331865712,0.006167182528233742
0.03848852435086939,1.6251466198256173,0.00038110274511769955,0.004960202105541826
0.047509046584178975,1.631599851530309,0.0004998637072690292,0.005202932828689574
0.051937241097552,1.6621095258053753,0.0005309096798414414,0.00567450331792833
0.01706753745026602,1.6080229392544532,0.0002638450644919481,0.00793514638005245
0.023804930814428315,1.612629346957023,0.0002704183590423163,0.005851725969419856
0.03969915647063778,1.6262625583890944,0.00037572721186074706,0.004688788205680994
0.04754517478518305,1.6312561231706144,0.0004980518737219158,0.005358378826339449
0.054811001816099256,1.6637441532578419,0.0005071921195685497,0.004864577062791049
