# Height,Period (sin),Period (mean),Period (min)
0.01514881401819352,1.605654197099719,0.6030420198696652,1.5852499999999998
0.025821686665550025,1.6156463527381302,0.8126789433463912,1.5895000000000001
0.036445699314857485,1.6216943458721969,1.6334982932692306,1.6022500000000002
0.04541960852728318,1.6289595573591138,1.7459467599754614,1.6271428571428572
0.05814437888795142,1.650512092551847,1.6488622686064838,1.637142857142857
0.01514881401819352,1.605654197099719,0.6030420198696652,1.5852499999999998
0.02528369745605968,1.6152146312931626,1.0876594372908481,1.59375
0.03848852435086939,1.6251466198256173,1.6348612385531136,1.6174285714285712
0.047509046584178975,1.631599851530309,1.4391530225197808,1.6417142857142857
0.051937241097552,1.6621095258053753,1.545578910532576,1.6597142857142857
0.01706753745026602,1.6080229392544532,1.1563233943833946,1.602857142857143
0.023804930814428315,1.612629346957023,1.0565872983785616,1.5979999999999999
0.03969915647063778,1.6262625583890944,1.4509511474811003,1.61075
0.04754517478518305,1.6312561231706144,1.6406665988005051,1.6271428571428572
0.054811001816099256,1.6637441532578419,1.782306489440994,1.6533333333333333
