1226158,46.82,-15828,560,404
1226176,46.39,-15588,552,560
1226194,46.37,-15676,416,300
1226212,46.37,-15684,528,288
1226230,46.39,-15740,544,296
1226248,46.37,-16004,584,324
1226266,46.37,-15436,428,296
1226284,46.39,-15684,452,416
1226302,46.37,-15524,572,824
1226320,46.39,-15964,552,316
1226338,46.39,-16060,496,-4
1226356,46.39,-15700,500,608
1226374,46.80,-15784,544,228
1226392,46.39,-15560,448,748
1226410,46.37,-15968,496,512
1226428,46.39,-16748,1068,468
1226446,46.39,-14772,276,1744
1226464,45.98,-15180,3412,1228
1226482,46.37,-11068,7736,1064
1226500,45.38,-9752,7352,1372
1226518,45.96,-7652,7868,504
1226536,45.98,-10708,8852,-452
1226553,44.14,-9044,8436,-12
1226570,43.13,-10668,8716,-52
1226587,41.98,-11144,9004,-132
1226604,41.28,-11128,8404,-184
1226621,41.28,-12660,9196,-124
1226638,39.65,-13408,9292,-96
1226655,38.72,-13256,8716,-64
1226672,37.78,-14940,9104,-376
1226689,36.84,-15972,8948,-456
1227702,0.00,-23096,476,-8
1227719,29.88,-22972,1536,-60
1227736,30.37,-22392,2480,-44
1227753,30.63,-22364,3436,92
1227770,30.63,-21856,4312,88
1227787,31.95,-18260,4316,268
1227804,31.68,-22272,6232,-144
1227821,32.74,-22068,7388,-200
1227838,33.53,-17104,6588,416
1227855,34.32,-19184,8084,312
1227872,35.11,-18104,8364,196
1227889,36.39,-15592,7984,424
1227906,36.86,-16140,9000,476
1227923,37.32,-14940,8792,288
1227940,38.26,-13496,8468,400
1227957,39.87,-13220,8992,212
1227974,39.87,-12444,9072,252
1227991,40.58,-11308,8484,408
1229004,0.00,-9940,-6796,904
1229021,41.52,-11500,-7260,636
1229038,42.22,-12204,-7596,536
1229055,40.82,-11808,-7188,540
1229072,40.13,-12684,-7424,916
1229089,39.43,-13560,-7428,668
1229106,38.26,-13972,-7204,580
1229123,38.26,-14968,-7424,580
1229140,36.63,-15484,-7080,596
1229157,36.17,-16212,-6820,632
1229174,35.38,-17304,-6608,516
1229191,34.61,-17888,-6204,404
1229208,33.79,-18516,-5708,600
1229225,33.00,-19632,-5308,440
1229242,31.95,-20168,-4728,340
1229259,32.22,-20500,-3940,616
